Latitude,Longitude,Positive,Negative,Mixed,Neutral,Count,Sentiment
12,76,0.03315236916144689,0.39538920888056356,0.04368166191216005,0.5277767404913902,6,NEUTRAL
12,78,0.013394014909863472,0.6220752000808716,0.004022371955215931,0.36050841212272644,1,NEGATIVE
12,79,0.10761584120045882,0.3386218837462366,0.022110670499932893,0.531651601754129,15,NEUTRAL
12,80,0.10761584120045882,0.3386218837462366,0.022110670499932893,0.531651601754129,15,NEUTRAL
13,75,0.1196227084757993,0.2146285679191351,0.012675951892742888,0.6530727123841643,40,NEUTRAL
13,76,0.1196227084757993,0.2146285679191351,0.012675951892742888,0.6530727123841643,40,NEUTRAL
13,78,0.0466859412357735,0.2935735309118172,0.024890591559551468,0.6348499417304992,40,NEUTRAL
13,79,0.022162350803577844,0.16742554092063353,0.0012949042533224341,0.809117222061524,13,NEUTRAL
13,80,0.03919790351210395,0.18468785515851777,0.020058352185242257,0.756055896775797,40,NEUTRAL
13,81,0.03764852907770546,0.1914263850716452,0.020066642146503,0.7508584522176533,40,NEUTRAL
13,93,0.15044431135174818,0.5779763460159302,0.1055293882686783,0.16604994144290686,4,NEGATIVE
13,94,0.15044431135174818,0.5779763460159302,0.1055293882686783,0.16604994144290686,4,NEGATIVE
15,76,0.002393013157416135,0.29847113229334354,2.0852801753790118e-05,0.6991150081157684,2,NEUTRAL
15,77,0.002393013157416135,0.29847113229334354,2.0852801753790118e-05,0.6991150081157684,2,NEUTRAL
16,74,0.06772857032982367,0.6443456415103616,0.0020467114660017876,0.2858791005398546,7,NEGATIVE
16,78,0.018565027887234464,0.16306388137309114,0.0033237789543818508,0.8150473143905401,8,NEUTRAL
17,75,0.10655717863343082,0.36774750380293253,0.03215135618022312,0.49354397047024506,13,NEUTRAL
17,76,0.008743592537939548,0.6761433482170105,0.00022341229487210512,0.31488966941833496,1,NEGATIVE
17,79,0.002998986514285207,0.8561808466911316,0.00010641611879691482,0.14071378111839294,1,NEGATIVE
17,80,0.5274179454427212,0.0633379821665585,0.00021396452890864263,0.40903015732765197,15,POSITIVE
17,81,0.03996571898460388,0.10368663817644119,0.002127858577296138,0.8542197346687317,1,NEUTRAL
17,82,0.008324610942509025,0.1891470947302878,0.0032248868398515435,0.7993033868925912,7,NEUTRAL
17,96,0.023700009459571448,0.6261063322424889,0.009343478244227299,0.3408501669764519,40,NEGATIVE
18,73,0.14682984352111816,0.008328246884047985,0.00020631587540265173,0.844635546207428,1,NEUTRAL
18,78,0.0005372494924813509,0.0029212171211838722,1.1143395568069536e-05,0.9965303540229797,1,NEUTRAL
18,79,0.07703481196513166,0.09075636739071342,0.005325547538393494,0.8268832802772522,40,NEUTRAL
18,80,0.07703481196513166,0.09075636739071342,0.005325547538393494,0.8268832802772522,40,NEUTRAL
18,83,0.3261591184030597,0.17531503700107956,0.0014346909106279782,0.49709117660919827,3,NEUTRAL
19,72,0.0413885057598236,0.27013053512200713,0.00038767754807622623,0.6880932483822108,40,NEUTRAL
19,73,0.045627516687090974,0.28361393650993705,0.0009912642038557352,0.6697672497481107,40,NEUTRAL
19,75,0.006362871266901493,0.6715829372406006,0.014246446080505848,0.3078078031539917,1,NEGATIVE
19,77,0.25589181824276847,0.1730103949472929,0.0013021219153112422,0.5697956414272388,6,NEUTRAL
19,82,0.00148367031943053,0.8901275396347046,0.0007577434298582375,0.10763111710548401,1,NEGATIVE
